word1	word2	word1(sense)	word2(sense)	POS	mean	sd	type
가	부	가009	부010	명사	3.89	1.2	반대말
가거주	실거주	가거주001	실거주001	명사	3.9	1.09	반대말
가거주자	실거주자	가거주자001	실거주자001	명사	4.09	1.04	반대말
가검	진검	가검001	진검001	명사	3.93	1.1	반대말
가까이	멀리	가까이001	멀리001	부사	4.23	0.92	반대말
가까이	외우	가까이001	외우002	부사	3.77	1.18	반대말
가까이	멀리	가까이004	멀리004	명사	4.14	1.02	반대말
가까이하다	멀리하다	가까이하다002	멀리하다002	동사	4.05	1.05	반대말
가는베	굵은베	가는베001	굵은베001	명사	4.06	1.01	반대말
가는소금	굵은소금	가는소금001	굵은소금001	명사	4.15	0.98	반대말
가는소금	왕소금	가는소금001	왕소금001	명사	3.89	1.16	반대말
가늘다	굵다	가늘다001	굵다001	형용사	4.21	0.93	반대말
가늘다	굵다	가늘다002	굵다006	형용사	4.2	1.01	반대말
가능	불능	가능001	불능001	명사	4.12	1	반대말
가다	오다	가다007	오다004	동사	4.2	0.98	반대말
가든	내야	가든002	내야001	명사	3.44	1.24	반대말
가든	다이아	가든002	다이아003	명사	3.47	1.3	반대말
가든	다이아몬드	가든002	다이아몬드002	명사	3.37	1.28	반대말
가로	세로	가로002	세로002	부사	4	1.11	반대말
가로글씨	내리글씨	가로글씨001	내리글씨001	명사	3.76	1.19	반대말
가로글씨	종서	가로글씨001	종서002	명사	3.87	1.13	반대말
가로금	세로금	가로금001	세로금001	명사	4	1.1	반대말
가로대	세로대	가로대006	세로대001	명사	3.97	1.13	반대말
가로대	세로축	가로대006	세로축001	명사	3.7	1.23	반대말
가로대	와이축	가로대006	와이축001	명사	3.82	1.15	반대말
가로돛	세로돛	가로돛001	세로돛001	명사	3.85	1.15	반대말
가로띠	세로띠	가로띠001	세로띠001	명사	3.92	1.08	반대말
가로쓰기	내리쓰기	가로쓰기001	내리쓰기001	명사	3.82	1.16	반대말
가로쓰다	세로쓰다	가로쓰다001	세로쓰다001	동사	3.93	1.09	반대말
가로줄눈	세로줄눈	가로줄눈001	세로줄눈001	명사	3.95	1.12	반대말
가로지다	세로지다	가로지다001	세로지다001	형용사	3.94	1.03	반대말
가로짜기	세로짜기	가로짜기001	세로짜기001	명사	3.91	1.04	반대말
가로짜기	종조	가로짜기001	종조007	명사	3.48	1.14	반대말
가로축	세로대	가로축001	세로대001	명사	3.95	1.06	반대말
가로축	세로축	가로축001	세로축001	명사	4.02	0.97	반대말
가로축	와이축	가로축001	와이축001	명사	3.73	1.17	반대말
가로코	세로코	가로코001	세로코001	명사	3.99	1.07	반대말
가로판벽	세로판벽	가로판벽001	세로판벽001	명사	3.82	1.11	반대말
