word1	word2	word1(sense)	word2(sense)	POS	mean	sd	type
가	노변	가002	노변002	명사	3.48	1.12	하위어
가	하변	가004	하변002	명사	3.55	1.2	하위어
가게	고물상	가게001	고물상002	명사	3.69	1.1	하위어
가게	구둣방	가게001	구둣방001	명사	3.84	1.09	하위어
가게	구멍가게	가게001	구멍가게001	명사	3.99	1.07	하위어
가게	금은방	가게001	금은방001	명사	3.79	1.09	하위어
가게	끽다점	가게001	끽다점001	명사	3.31	1.2	하위어
가게	노래방	가게001	노래방001	명사	3.52	1.26	하위어
가게	다과점	가게001	다과점001	명사	3.9	1.13	하위어
가게	단골	가게001	단골001	명사	2.86	1.34	하위어
가게	단골집	가게001	단골집001	명사	3.68	1.09	하위어
가게	대여점	가게001	대여점001	명사	3.66	1.21	하위어
가게	도매점	가게001	도매점001	명사	3.91	1.07	하위어
가게	만화방	가게001	만화방001	명사	3.83	1.21	하위어
가게	만홧가게	가게001	만홧가게001	명사	3.89	1.13	하위어
가게	바느질집	가게001	바느질집001	명사	3.62	1.25	하위어
가게	복덕방	가게001	복덕방001	명사	3.57	1.28	하위어
가게	빨래방	가게001	빨래방001	명사	3.81	1.18	하위어
가게	사진관	가게001	사진관001	명사	3.77	1.11	하위어
가게	서점	가게001	서점004	명사	3.92	1.13	하위어
가게	세탁소	가게001	세탁소001	명사	4	1.03	하위어
가게	식품점	가게001	식품점001	명사	3.99	1.08	하위어
가게	싸전	가게001	싸전001	명사	3.6	1.14	하위어
가게	악기점	가게001	악기점001	명사	3.75	1.07	하위어
가게	양복점	가게001	양복점001	명사	3.8	1.16	하위어
가게	양복집	가게001	양복집001	명사	3.64	1.19	하위어
가게	양화점	가게001	양화점001	명사	3.85	0.99	하위어
가게	이발관	가게001	이발관001	명사	3.77	1.08	하위어
가게	이발소	가게001	이발소001	명사	3.79	1.14	하위어
가게	장전	가게001	장전019	명사	3.17	1.28	하위어
가게	찻방	가게001	찻방002	명사	3.61	1.25	하위어
가게	찻집	가게001	찻집001	명사	3.78	1.15	하위어
가게	책방	가게001	책방001	명사	3.78	1.1	하위어
가게	책사	가게001	책사002	명사	3.27	1.31	하위어
가게	책전	가게001	책전001	명사	3.83	1.11	하위어
가게	책점	가게001	책점001	명사	3.74	1.11	하위어
가게	판매점	가게001	판매점001	명사	3.64	1.14	하위어
가겟집	가게	가겟집001	가게001	명사	3.03	1.33	하위어
가겟집	가겟방	가겟집001	가겟방002	명사	3.13	1.26	하위어
가겟집	사전	가겟집001	사전022	명사	3.6	1.31	하위어
가겟집	상가	가겟집001	상가008	명사	3.61	1.25	하위어
